amplicon,converged,amplicon_factor,alpha,beta_zero,beta_one,method,mean,variance,gene
AMPL125238,True,0.0003488769372814822,0.7700746391802205,-7.2676441326245795,1.0,pearson,157.95847429193458,6038.720544861476,CTCF
AMPL126740,True,0.00030381478391830474,0.7935752129505763,-7.405945125101119,1.0,pearson,160.17307752125083,5196.645434718096,MYC
AMPL128656,True,2.5309179401734017e-06,8.92459259456472,-12.193781318266034,1.0,pearson,567.7898917082026,33347.21038484901,NOTCH1
AMPL13179,True,0.0008850843845831807,0.3931314879527124,-6.3366803871304,1.0,pearson,156.47549051438176,3173.2033054992976,MEN1
AMPL138094,True,0.007456628616254618,0.26542912791487916,-4.205504714472814,1.0,pearson,96.92766325766472,181.50560940031613,SMAD4
AMPL138095,True,0.0007918107301672204,0.30320569097981587,-6.4480409912110614,1.0,pearson,160.06653832370606,3244.03563137084,SMAD4
AMPL138096,True,0.00038278258467366064,0.9173251318937826,-7.174896213443353,1.0,pearson,153.94223843094582,6776.907555768874,SMAD4
AMPL138097,True,0.00029725296523854693,0.9405458894111951,-7.427779866311967,1.0,pearson,157.09386264238816,6794.349958163956,SMAD4
AMPL138099,True,0.0003246598460940301,0.4997758967246291,-7.339585370574505,1.0,pearson,160.41552376912597,4978.357457349947,SMAD4
AMPL13842,True,0.0002327860805033496,0.6563391753667338,-7.6722434549869165,1.0,pearson,157.76745738338792,5269.886991304277,PDGFRA
AMPL141884,True,0.0005575985007512285,0.5401308667239395,-6.798724206714806,1.0,pearson,158.51038845534336,5168.882077228099,FLT1
AMPL143573,True,0.0012900652871360274,2.5131693770138916,-5.959915271146296,1.0,pearson,119.0639808819506,2675.861866583295,MYC
AMPL146646,True,0.0007244764297424977,0.47449712387761006,-6.536914149309455,1.0,pearson,156.15798110435236,3879.2778193463932,SMAD4
AMPL146649,True,7.03511451268989e-05,1.6781139590744274,-8.86886431640855,1.0,pearson,191.08645640325696,8895.066751034421,STK11
AMPL146662,True,0.00018058067462711782,2.423642853414994,-7.926185748641411,1.0,pearson,181.17472712774233,8030.777596612055,SRC
AMPL151786,True,0.003617337987234898,0.42631402696545073,-4.9288697057385376,1.0,pearson,121.58527994097226,871.8811684112861,SPEN
AMPL151964,True,0.00044263156441232154,3.836679644846858,-7.029625636441575,1.0,pearson,178.45978889269088,5434.626947542534,CARD11
AMPL160274,True,0.009887674345414644,0.8889151203000344,-3.923319132572156,1.0,pearson,46.875725980312545,55.56666518855022,FGFR1
AMPL160275,True,0.002879167134715221,0.41798539485128117,-5.157107035432629,1.0,pearson,131.7176765960863,1142.7636718774759,FGFR1
AMPL160828,True,7.282874898702525e-05,1.0445441948905376,-8.83425259648769,1.0,pearson,175.08541945359423,5913.72442142071,POLE
AMPL165609,True,0.0014862499226545442,0.30550890090340926,-5.818351981440015,1.0,pearson,153.96377007727727,2580.181652827768,KMT2C
AMPL165734,True,1.5236732773389879e-05,8.582986825546156,-10.398654235077737,1.0,pearson,336.10933798337646,27416.431787771824,TGFBR2
AMPL165735,True,0.00012717370441356622,0.838118644958929,-8.276809474177577,1.0,pearson,163.78661276169115,6860.884488664695,TGFBR2
AMPL165742,True,0.001450660319009036,0.3363790831271736,-5.842589253229343,1.0,pearson,154.14240139764587,2637.5514849644123,TGFBR2
AMPL165743,True,0.0008810957697494894,0.2994623141178254,-6.341197051644646,1.0,pearson,159.92876505689128,3207.840794772837,TGFBR2
AMPL165744,True,0.00020407387590668394,0.8633904049217399,-7.803881312318346,1.0,pearson,161.79760862028076,6828.492223951411,TGFBR2
AMPL165898,True,0.000261180511142754,1.1947947800071335,-7.557151595562317,1.0,pearson,159.71955957736645,7793.015483942833,TGFBR1
AMPL165899,True,0.0004501684384630661,0.36986750846817873,-7.01274155697991,1.0,pearson,160.81490437219563,4043.0859243762507,TGFBR1
AMPL165900,True,0.0007327830464751648,0.34356512021293023,-6.52551369958064,1.0,pearson,159.4063141850878,3353.1167071949303,TGFBR1
AMPL165901,True,0.00040706132157966005,0.46953767256625856,-7.113399536039015,1.0,pearson,159.3719121094616,4424.471938886258,TGFBR1
AMPL165902,True,0.00027313637197565616,0.5693480643951445,-7.512392175897109,1.0,pearson,160.15447261076716,5290.389247958853,TGFBR1
AMPL165903,True,9.854823269426672e-05,0.6488006883456274,-8.531817277053495,1.0,pearson,170.804870296465,5977.952054658575,TGFBR1
AMPL166074,True,0.000134600763629822,0.9667273672531254,-8.220050286882737,1.0,pearson,169.48187037238847,6698.1966217187955,DDX3X
AMPL166269,True,0.00013649101903496976,0.7242662941552042,-8.206104559559481,1.0,pearson,163.59710862974586,6184.487841615337,CHD1
AMPL167407,True,0.0005222632017639216,0.5263560045613362,-6.864191698658294,1.0,pearson,157.66028594029947,4827.6881953592565,GATA6
AMPL167408,True,0.0022364000209792742,0.4998882470281212,-5.409740658871015,1.0,pearson,136.93446084525786,1863.9224352625922,GATA6
AMPL167409,True,0.0003856767651804638,3.658464277770554,-7.167363754656843,1.0,pearson,185.72873086235708,5657.096772374463,GATA6
AMPL171265,True,4.562870846152406e-05,1.4187928099140332,-9.30182628745635,1.0,pearson,195.08662885577655,8415.172223527405,KDM6A
AMPL172761,True,0.0017124234769702483,0.4147539393649795,-5.676698493247229,1.0,pearson,148.4139234737777,2592.801220206105,TP53
AMPL176028,True,0.0009074479362281341,0.8582428315317522,-6.311727183458586,1.0,pearson,147.16916326673154,4606.177734262064,CDC25B
AMPL177159,True,0.0007476895384015012,0.41353781921821203,-6.50537554120224,1.0,pearson,158.10767456372352,3767.4080024806153,FAT4
AMPL177184,True,2.6263689043811685e-05,24.515566191133704,-9.854176036910685,1.0,pearson,379.7441381597779,54041.38861173191,ARID1B
AMPL181095,True,0.0002859442937596711,1.3202634809754363,-7.466566362620079,1.0,pearson,159.1592530209789,7628.198156156983,ATRX
AMPL187925,True,0.00048037405797009497,0.4453863954402577,-6.947798289551491,1.0,pearson,159.7673124930024,4335.850463627619,DNMT3A
AMPL209823,True,0.0007798224843920355,0.4664257843263175,-6.46329706773466,1.0,pearson,156.40240033195658,3982.0294615041003,ERBB2
AMPL221874,True,0.0001435506085241052,0.8844165758464463,-8.155675731737183,1.0,pearson,164.4994482455638,7000.352941568038,FANCE
AMPL226340,True,6.728749140870332e-05,1.4300145081468556,-8.913389021197688,1.0,pearson,170.11772446834448,8675.541612333043,KMT2C
AMPL233967,True,0.00033504719181154516,5.020442496120055,-7.308091984421422,1.0,pearson,181.29659032399687,8557.629345927704,GNAS
AMPL235278,False,7.917811719064191e-07,3.730960186607754e-11,-13.355833600847347,1.0,pearson,856.3578224359765,34850.26960789729,ARID2
AMPL239235,True,0.0019392629745011137,0.4694520872492378,-5.552300107582034,1.0,pearson,142.80139374427614,2268.80434147148,BARD1
AMPL242360,True,5.1404504385396294e-05,2.343251370014222,-9.182637574825714,1.0,pearson,203.97516736624434,12762.348346959909,BMPR1A
AMPL242364,True,4.036164240543845e-05,1.337007839568064,-9.424483488855952,1.0,pearson,199.14882433268824,8497.465429703325,BMPR1A
AMPL242366,True,0.0005343208268498385,0.6651311844028902,-6.8413669195075375,1.0,pearson,155.32498485367,5069.2158682858735,BMPR1A
AMPL242367,True,0.0023517596647203414,0.7810520442348098,-5.359444256974089,1.0,pearson,119.94126749611591,1686.424807381231,BMPR1A
AMPL242368,True,0.00024206054927817304,0.4655306235586404,-7.633175478914536,1.0,pearson,159.85897110479786,4475.146653160048,BMPR1A
AMPL242370,True,0.0018814418799586016,0.3863469929901313,-5.582569658117097,1.0,pearson,146.12923965134013,2270.075638158064,BMPR1A
AMPL242511,True,0.00033394437121739095,4.1758960264606255,-7.311388951540504,1.0,pearson,179.284627402962,7387.188393833472,POLD1
AMPL242512,True,0.00027428580188585663,5.80321599882007,-7.508192742062347,1.0,pearson,182.81957115244873,10142.837945132265,POLD1
AMPL244662,True,0.00011156656649761253,3.066149773671558,-8.407741955695903,1.0,pearson,193.41948682001694,10084.319492992778,SMAD3
AMPL244663,True,7.02471109197469e-05,2.116459213543943,-8.870344195733711,1.0,pearson,183.78545784478757,13123.958112716451,SMAD3
AMPL244664,True,0.00024393841484406665,2.735126460335283,-7.625447582148963,1.0,pearson,170.87992654303648,9244.640788080102,SMAD3
AMPL244665,True,5.843057793682805e-05,1.2035379356082585,-9.05452402978938,1.0,pearson,184.74204317327425,7328.994536767545,SMAD3
AMPL244666,True,6.157297229058398e-05,1.1676265022474341,-9.002140364665348,1.0,pearson,181.2597980514774,8744.869877050272,SMAD3
AMPL244667,True,0.002812801508554362,0.31466765047690987,-5.180427133595938,1.0,pearson,140.2255944677966,1271.2113215114302,SMAD3
AMPL244668,True,0.00030272433622611665,0.7981636606281652,-7.409540767429226,1.0,pearson,157.6606050337483,6642.66523832913,SMAD3
AMPL244669,True,6.458918004589924e-06,2.809399061284804,-11.256901565187642,1.0,pearson,349.88101663656863,12274.075726679308,SMAD3
AMPL244670,True,0.0008764100181008819,0.42372198532512517,-6.3465293387797495,1.0,pearson,157.5845383643077,3479.2590598500465,SMAD3
AMPL244732,True,6.301095237189444e-05,0.8616781998585552,-8.979054818949537,1.0,pearson,180.53436397601718,6901.300895265203,SMAD2
