amplicon_number,ado_rate,gene_name
AMPL253347,0.004953352,BMPR1B-8
AMPL244854,0.033086467,BMPR1B-9
AMPL253349,0.005193806,BMPR1B-10
AMPL244856,0.011734154,BMPR1B-11
AMPL244857,0.008127344,BMPR1B-12
AMPL250268,0.00423199,TET2-1
AMPL257600,0.008800616,LEF1-1
AMPL251162,0.021015678,FAT4-1
AMPL177159,0.005049534,FAT4-2
AMPL250270,0.007983072,FAT4-3
AMPL253357,0.007934981,FBXW7-1
AMPL253358,0.040877176,FBXW7-2
AMPL248826,0.003943445,FAT1-1
AMPL250271,0.157497355,TERT-1
AMPL257602,0.004616716,PAPD7-1
AMPL257603,0.029720112,NIPBL-1
AMPL248830,0.565932481,RICTOR-1
AMPL250274,0.035250553,RICTOR-2
AMPL119939,0.020390497,MAP3K1-1
AMPL250276,0.00605944,RAD17-1
AMPL257605,0.61003174,MSH3-1
AMPL251171,0.026786573,MSH3-2
AMPL251172,0.409445032,CHD1-1
AMPL257606,0.011012792,CHD1-2
AMPL166269,0.012503607,CHD1-3
AMPL115555,0.010195249,APC-1
AMPL250279,0.008752525,APC-2
AMPL250280,0.004087718,APC-3
AMPL253375,0.01389824,CTNNA1-1
AMPL250282,0.012407425,IRF4-1
AMPL257608,0.014619602,RREB1-1
AMPL257918,0.064634029,RREB1-2
AMPL253379,0.031980379,RREB1-3
AMPL248841,0.254063672,RREB1-4
AMPL250283,0.607242474,HIST1H1E-1
AMPL251179,0.415023564,HIST1H3D-1
AMPL250284,0.004039627,HIST1H3G-1
AMPL250285,0.032749832,HIST1H3I-1
AMPL257609,0.007790709,MSH5-1
AMPL248842,0.004953352,EHMT2-1
AMPL248843,0.002452631,DAXX-1
AMPL248844,0.002164086,DAXX-2
AMPL248845,0.002067904,DAXX-3
AMPL253390,0.006444167,DAXX-4
AMPL221874,0.175579494,FANCE-1
AMPL250288,0.017697413,MCM3-1
AMPL257611,0.008415889,TTK-1
AMPL251185,0.007405982,TTK-2
AMPL251186,0.023227854,ASCC3-1
AMPL257612,0.190872367,ASCC3-2
AMPL257613,0.005674714,REV3L-1
AMPL177184,0.871597576,ARID1B-1
AMPL250290,0.072424738,ARID1B-2
AMPL257614,0.00485717,ARID1B-3
AMPL253401,0.004135808,ARID1B-4
AMPL248849,0.030681927,ARID1B-5
AMPL119983,0.006973165,ARID1B-6
AMPL250291,0.054246417,ARID1B-7
AMPL253405,0.006396076,ARID1B-8
AMPL253406,0.002500721,ARID1B-9
AMPL251192,0.011157065,PARK2-1
AMPL151964,0.010579975,CARD11-1
AMPL250293,0.014715783,PMS2-1
AMPL250294,0.086707704,MPLKIP-1
AMPL253411,0.005530441,INHBA-1
AMPL253412,0.081946715,INHBA-2
AMPL250295,0.019909589,POLD2-1
AMPL257617,0.005626623,KMT2E-1
AMPL250296,0.023612581,MET-1
AMPL250297,0.009906704,SMO-1
AMPL113442,0.013224969,BRAF-1
AMPL257618,0.010147158,KEL-1
AMPL250298,0.004712898,KMT2C-1
AMPL253420,0.005145715,KMT2C-2
AMPL248866,0.002789266,KMT2C-3
AMPL253422,0.004616716,KMT2C-4
AMPL257621,0.003702991,KMT2C-5
AMPL122652,0.0,KMT2C-6
AMPL253425,4.81e-05,KMT2C-7
AMPL165609,9.62e-05,KMT2C-8
AMPL226340,0.132682505,KMT2C-9
AMPL257623,0.005915168,PAXIP1-1
AMPL251202,0.008944888,PAXIP1-2
AMPL251203,0.00726171,MCPH1-1
AMPL250300,0.730499182,EGR3-1
AMPL257624,0.018034048,WRN-1
AMPL160274,0.102866211,FGFR1-1
AMPL160275,0.0036549,FGFR1-2
AMPL250301,0.105463114,FGFR1-3
AMPL11982,0.005001443,FGFR1-4
AMPL251207,0.006107531,POLB-1
AMPL257628,0.005626623,PRKDC-1
AMPL257629,0.02539194,LYN-1
AMPL257630,0.046599981,PREX2-1
AMPL250304,0.01452342,PREX2-2
AMPL257631,0.029912475,PRDM14-1
AMPL126740,0.015821872,MYC-1
AMPL143573,0.011926517,MYC-2
AMPL257985,0.02115995,MYC-3
AMPL257986,0.031066654,MYC-4
AMPL257987,0.011878426,MYC-5
AMPL257988,0.003510628,MYC-6
AMPL250307,0.003991536,PTPRD-1
AMPL120016,0.005386169,PTPRD-2
AMPL250309,0.006492257,PTPRD-3
AMPL115655,0.003125902,CDKN2A-1
AMPL115656,0.005530441,CDKN2A-2
AMPL115657,0.16019044,CDKN2A-3
AMPL113204,0.104212754,CDKN2A-4
AMPL4077,0.079349812,CDKN2A-5
AMPL115660,0.007405982,CDKN2A-6
AMPL253455,0.004039627,TGFBR1-1
AMPL253456,0.005963259,TGFBR1-2
AMPL165898,0.033086467,TGFBR1-3
AMPL165899,0.005049534,TGFBR1-4
AMPL165900,0.003125902,TGFBR1-5
AMPL165901,0.005338078,TGFBR1-6
AMPL165902,0.006444167,TGFBR1-7
AMPL165903,0.025151486,TGFBR1-8
AMPL257633,0.013465423,SPTAN1-1
AMPL250312,0.601808214,RXRA-1
AMPL128656,0.655717996,NOTCH1-1
AMPL251220,0.003270174,ERCC6-1
AMPL248894,0.073242281,CTNNA3-1
AMPL242360,0.19164182,BMPR1A-1
AMPL253469,0.007502164,BMPR1A-2
AMPL253470,0.003318265,BMPR1A-3
AMPL253471,0.007021256,BMPR1A-4
AMPL242364,0.357747427,BMPR1A-5
AMPL253472,0.00788689,BMPR1A-6
AMPL242366,0.016543234,BMPR1A-7
AMPL242367,0.005049534,BMPR1A-8
AMPL242368,0.005674714,BMPR1A-9
AMPL59786,0.002356449,BMPR1A-10
AMPL253477,0.003366356,BMPR1A-11
AMPL242370,0.003318265,BMPR1A-12
AMPL257635,0.011878426,PTEN-1
AMPL257636,0.008848706,PTEN-2
AMPL250316,0.003847264,TCF7L2-1
AMPL257637,0.006396076,MGMT-1
AMPL257638,0.006684621,RRM1-1
AMPL251225,0.737664711,RRAS2-1
AMPL250318,0.046359527,CTNND1-1
AMPL257639,0.006107531,MARK2-1
AMPL251228,0.005049534,MARK2-2
AMPL249436,0.156487448,MEN1-1
AMPL13179,0.02058286,MEN1-2
AMPL253490,0.023179763,MEN1-3
AMPL253491,0.014427239,MEN1-4
AMPL252829,0.004328172,KAT5-1
AMPL252830,0.004087718,KAT5-2
AMPL252831,0.007646436,KAT5-3
AMPL252832,0.031739925,KAT5-4
AMPL257645,0.005001443,KAT5-5
AMPL252834,0.007598346,KAT5-6
AMPL252605,0.044916803,MUS81-1
AMPL250319,0.013609695,MUS81-2
AMPL251230,0.962729634,RAD9A-1
AMPL250320,0.030970472,RPS6KB2-1
AMPL250321,0.020246225,INPPL1-1
AMPL257654,0.029239204,INPPL1-2
AMPL251234,0.225113013,FAT3-1
AMPL257655,0.016879869,MRE11A-1
AMPL251236,0.015004328,BIRC3-1
AMPL251237,0.005001443,CUL5-1
AMPL251238,0.071030105,CUL5-2
AMPL251239,0.007550255,ATM-1
AMPL44548,0.008079254,ATM-2
AMPL250326,0.006973165,ATM-3
AMPL117931,0.621429258,ATM-4
AMPL91658,0.007309801,ATM-5
AMPL253520,0.013369241,ATM-6
AMPL251243,0.004135808,ATM-7
AMPL257659,0.004280081,ATM-8
AMPL257660,0.008752525,ATM-9
AMPL113492,0.007117438,ATM-10
AMPL253525,0.011541791,KMT2A-1
AMPL250327,0.005289987,KMT2A-2
AMPL93658,0.004616716,KMT2A-3
AMPL251245,0.00302972,RAD51AP1-1
AMPL253529,0.029672021,CHD4-1
AMPL250328,0.005915168,CHD4-2
AMPL250330,0.006925075,ATF7IP-1
AMPL257664,0.005289987,ATF7IP-2
AMPL251249,0.00423199,PIK3C2G-1
AMPL38584,0.005867077,KRAS-1
AMPL115373,0.010435703,KRAS-2
AMPL38586,0.012455516,KRAS-3
AMPL38587,0.011541791,KRAS-4
AMPL115376,0.026690391,KRAS-5
AMPL253539,0.075887275,ARID2-1
AMPL253540,0.008992979,ARID2-2
AMPL253541,0.008704434,ARID2-3
AMPL248928,0.004183899,ARID2-4
AMPL248929,0.002885448,ARID2-5
AMPL235278,0.804607098,ARID2-6
AMPL117568,0.0078388,KMT2D-1
AMPL250334,0.003366356,KMT2D-2
AMPL118221,0.040203905,KMT2D-3
AMPL250335,0.014571511,KMT2D-4
AMPL253549,0.007021256,KMT2D-5
AMPL253550,0.023227854,KMT2D-6
AMPL248935,0.025728576,KMT2D-7
AMPL244869,0.00360681,ACVR1B-1
AMPL253553,0.008319708,ACVR1B-2
AMPL249492,0.006780802,ACVR1B-3
AMPL244872,0.004183899,ACVR1B-4
AMPL244873,0.014571511,ACVR1B-5
AMPL244874,0.056362412,ACVR1B-6
AMPL244875,0.002500721,ACVR1B-7
AMPL244876,0.030970472,ACVR1B-8
AMPL244877,0.014619602,ACVR1B-9
AMPL257667,0.006011349,ERBB3-1
AMPL250338,0.005001443,ERBB3-2
AMPL250339,0.004183899,TBX3-1
AMPL257668,0.006684621,RFC5-1
AMPL250340,0.531643743,RAB35-1
AMPL250341,0.015004328,POLE-1
AMPL160828,0.357074156,POLE-2
AMPL253568,0.004280081,SACS-1
AMPL251263,0.009954795,PARP4-1
AMPL44712,0.006973165,FLT3-1
AMPL141884,0.007117438,FLT1-1
AMPL253572,0.004520535,BRCA2-1
AMPL253573,0.008223526,BRCA2-2
AMPL253574,0.117485813,BRCA2-3
AMPL248950,0.376983745,BRCA2-4
AMPL41864,0.007069347,BRCA2-5
AMPL253577,0.00485717,BRCA2-6
AMPL250344,0.257333846,BRCA2-7
AMPL250345,0.017889776,BRCA2-8
AMPL253580,0.006155622,BRCA2-9
AMPL253581,0.004953352,BRCA2-10
AMPL38486,0.006684621,BRCA2-11
AMPL253583,0.004376262,BRCA2-12
AMPL253584,0.016014235,BRCA2-13
AMPL253585,0.008800616,BRCA2-14
AMPL253586,0.004616716,BRCA2-15
AMPL253587,0.004616716,BRCA2-16
AMPL253588,0.044291623,BRCA2-17
AMPL253589,0.016831778,RB1-1
AMPL51946,0.013513514,RB1-2
AMPL257674,0.012455516,PARP2-1
AMPL251275,0.008848706,PRMT5-1
AMPL250349,0.00423199,PRKD1-1
AMPL250350,0.014331057,PRKD1-2
AMPL251278,0.050110609,G2E3-1
AMPL257675,0.012359334,NKX2-1
AMPL257676,0.007502164,MLH3-1
AMPL250352,0.103250938,MLH3-2
AMPL251281,0.025872848,ATXN3-1
AMPL250353,0.798547658,TRAF3-1
AMPL115769,0.135808406,AKT1-1
AMPL251284,0.004135808,HERC2-1
AMPL251285,0.073867462,SPRED1-1
AMPL251286,0.053428874,INO80-1
AMPL250355,0.011589882,TP53BP1-1
AMPL250357,0.009377705,RNF111-1
AMPL257678,0.005289987,MAP2K1-1
AMPL244879,0.389439261,SMAD6-1
AMPL253609,0.016014235,SMAD6-2
AMPL253610,0.00543426,SMAD6-3
AMPL244662,0.181109936,SMAD3-1
AMPL244663,0.163172069,SMAD3-2
AMPL244664,0.625372704,SMAD3-3
AMPL244665,0.267577186,SMAD3-4
AMPL244666,0.434307973,SMAD3-5
AMPL244667,0.004664807,SMAD3-6
AMPL244668,0.075262095,SMAD3-7
AMPL244669,0.748773685,SMAD3-8
AMPL244670,0.006876984,SMAD3-9
AMPL254204,0.019717226,SMAD3-10
AMPL250358,0.004760989,SIN3A-1
AMPL250359,0.005578532,FANCI-1
AMPL253619,0.008992979,IDH2-1
AMPL257680,0.568673656,MPG-1
AMPL250361,0.011060883,AXIN1-1
AMPL257681,0.00360681,SLX4-1
AMPL250363,0.015196691,SLX4-2
AMPL253624,0.00966625,CREBBP-1
AMPL124269,0.43286525,CREBBP-2
AMPL113643,0.089977878,CREBBP-3
AMPL3836,0.288496682,CREBBP-4
AMPL253628,0.005097624,CREBBP-5
AMPL248970,0.019428681,PALB2-1
AMPL250364,0.003558719,PALB2-2
AMPL251297,0.657737809,PPP4C-1
AMPL251298,0.006347985,NUP93-1
AMPL125238,0.020775224,CTCF-1
AMPL250366,0.006684621,CDH1-1
AMPL253635,0.514090603,CDH1-2
AMPL253636,0.010195249,CDH1-3
AMPL257683,0.012022699,FANCA-1
AMPL115788,0.132874868,TP53-1
AMPL113790,0.009954795,TP53-2
AMPL115428,0.003125902,TP53-3
AMPL253641,0.004616716,TP53-4
AMPL172761,0.003366356,TP53-5
AMPL115316,0.003077811,TP53-6
AMPL2967,0.026257574,TP53-7
AMPL9336,0.071559104,TP53-8
AMPL591,0.05318842,TP53-9
AMPL257685,0.210781956,CHD3-1
AMPL251306,0.049822064,PER1-1
AMPL257686,0.068048476,PER1-2
AMPL253650,0.0036549,MAP2K4-1
AMPL257687,0.011589882,MAP2K4-2
AMPL257688,0.005722805,MAP2K4-3
AMPL257689,0.004039627,MAP2K4-4
AMPL253654,0.026449937,NCOR1-1
AMPL120246,0.013561604,NF1-1
AMPL253656,0.014811965,NF1-2
AMPL209823,0.012359334,ERBB2-1
AMPL257692,0.021929403,ERBB2-2
AMPL115816,0.004472444,ERBB2-3
AMPL257693,0.570982014,RARA-1
AMPL252694,0.004616716,BRCA1-1
AMPL252695,0.002164086,BRCA1-2
AMPL248996,0.005722805,BRCA1-3
AMPL250376,0.002115995,BRCA1-4
AMPL252698,0.005867077,BRCA1-5
AMPL257694,0.019621045,BRCA1-6
AMPL257695,0.007069347,KANSL1-1
AMPL250379,0.049244975,EME1-1
